
央视,#genre#
CCTV1,http://69.30.245.50/live/cctv1.m3u8$LR•IPV4•2『线路1』
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8$LR•IPV4•2『线路2』
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8$LR•IPV4
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8$LR•IPV4
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$LR•IPV4•3『线路1』
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8$LR•IPV4•3『线路2』
CCTV4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$LR•IPV4•3『线路3』
CCTV6,http://69.30.245.50/live/cctv6.m3u8$LR•IPV4
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8$LR•IPV4
CCTV8,http://74.91.26.218:82/live/cctv8hd.m3u8$LR•IPV4
CCTV9,https://xykt-fix.github.io/Y77.m3u8$LR•IPV4
CCTV10,http://74.91.26.218:82/live/cctv10hd.m3u8$LR•IPV4
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8$LR•IPV4
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8$LR•IPV4
CCTV13,http://go.bkpcp.top/mg/cctv13$LR•IPV4•2『线路1』
CCTV13,https://cdn3.163189.xyz/163189/cctv13$LR•IPV4•2『线路2』
CCTV14,http://74.91.26.218:82/live/cctv14hd.m3u8$LR•IPV4
CCTV15,https://xykt-fix.github.io/play/a02e/index.m3u8$LR•IPV4
CCTV16,http://74.91.26.218:82/live/cctv16hd.m3u8$LR•IPV4
CCTV17,http://74.91.26.218:82/live/cctv17hd.m3u8$LR•IPV4
CETV1,http://117.161.133.51:81/gitv_live/G_CETV-1/G_CETV-1.m3u8?p=GITV$LR•IPV4
CETV2,http://117.161.133.51:81/gitv_live/G_CETV-2/G_CETV-2.m3u8?p=GITV$LR•IPV4
CGTN,https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8$LR•IPV4•9『线路1』
CGTN,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8$LR•IPV4•9『线路2』
CGTN,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8$LR•IPV4•9『线路3』
CGTN,https://raw.githubusercontent.com/Sibprod/streams/main/ressources/dm/py/hls/cgtneurope.m3u8$LR•IPV4•9『线路4』
CGTN,https://amg01314-cgtn-amg01314c2-rakuten-us-1319.playouts.now.amagi.tv/cgtn-fr-rakuten/playlist.m3u8$LR•IPV4•9『线路5』
CGTN,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8$LR•IPV4•9『线路6』
CGTN,https://amg01314-amg01314c6-distrotv-us-10220.playouts.now.amagi.tv/playlist/amg01314-cgtn-cgtnglobalbiz-distrotvus/playlist.m3u8$LR•IPV4•9『线路7』
CGTN,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8$LR•IPV4•9『线路8』
CGTN,https://mn-nl.mncdn.com/dogusdyg_drone/cgtn/playlist.m3u8$LR•IPV4•9『线路9』

卫视,#genre#
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8$LR•IPV4
东方卫视,http://118.81.195.79:9003/hls/23/index.m3u8$LR•IPV4
北京卫视,http://go.bkpcp.top/mg/bjws$LR•IPV4
江苏卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8$LR•IPV4
重庆卫视,http://118.81.195.79:9003/hls/22/index.m3u8$LR•IPV4
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8$LR•IPV4
东南卫视,http://118.81.195.79:9003/hls/24/index.m3u8$LR•IPV4
广东卫视,http://118.81.195.79:9003/hls/26/index.m3u8$LR•IPV4
广西卫视,http://118.81.195.79:9003/hls/27/index.m3u8$LR•IPV4
厦门卫视,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221226996/index.m3u8$LR•IPV4•2『线路1』
厦门卫视,http://112.25.48.68/live/program/live/xmws/1300000/mnf.m3u8$LR•IPV4•2『线路2』
甘肃卫视,http://118.81.195.79:9003/hls/25/index.m3u8$LR•IPV4
贵州卫视,http://183.207.248.71/gitv/live1/G_GUIZHOU/G_GUIZHOU$LR•IPV4•2『线路1』
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8$LR•IPV4•2『线路2』
河南卫视,http://118.81.195.79:9003/hls/30/index.m3u8$LR•IPV4
黑龙江卫视,http://118.81.195.79:9003/hls/31/index.m3u8$LR•IPV4
湖北卫视,http://118.81.195.79:9003/hls/32/index.m3u8$LR•IPV4
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8$LR•IPV4
吉林卫视,http://118.81.195.79:9003/hls/34/index.m3u8$LR•IPV4
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8$LR•IPV4•4『线路1』
内蒙古卫视,http://117.169.120.140:8080/live/neimenggustv/.m3u8$LR•IPV4•4『线路2』
内蒙古卫视,http://183.207.248.71/gitv/live1/G_NEIMENGGU/G_NEIMENGGU$LR•IPV4•4『线路3』
内蒙古卫视,http://223.110.245.173/PLTV/4/224/3221225836/index.m3u8$LR•IPV4•4『线路4』
辽宁卫视,http://39.134.39.37/PLTV/88888888/224/3221226209/index.m3u8$LR•IPV4
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8$LR•IPV4
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8$LR•IPV4
山东卫视,http://125.210.152.18:9090/live/SDWSHD_H265.m3u8$LR•IPV4•2『线路1』
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8$LR•IPV4•2『线路2』
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8$LR•IPV4
海南卫视,http://118.81.195.79:9003/hls/28/index.m3u8$LR•IPV4
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8$LR•IPV4•6『线路1』
新疆卫视,http://183.207.248.71/cntv/live1/xinjiangstv/xinjiangstv$LR•IPV4•6『线路2』
新疆卫视,http://183.207.248.71/gitv/live1/G_XINJIANG/G_XINJIANG$LR•IPV4•6『线路3』
新疆卫视,http://183.207.249.15/PLTV/3/224/3221225523/index.m3u8$LR•IPV4•6『线路4』
新疆卫视,http://223.110.243.136/PLTV/3/224/3221225523/index.m3u8$LR•IPV4•6『线路5』
新疆卫视,http://112.25.48.68/live/program/live/xjws/1300000/mnf.m3u8$LR•IPV4•6『线路6』
云南卫视,https://hwapi.yunshicloud.com/8xughf/e0bx15.m3u8$LR•IPV4
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8$LR•IPV4•3『线路1』
西藏卫视,http://117.169.120.140:8080/live/xizangstv/.m3u8$LR•IPV4•3『线路2』
西藏卫视,http://183.207.249.16/PLTV/3/224/3221225523/index.m3u8$LR•IPV4•3『线路3』
兵团卫视,http://112.25.48.68/live/program/live/btws/1300000/mnf.m3u8$LR•IPV4
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/1.m3u8$LR•IPV4
家庭理财,http://223.110.245.139/PLTV/4/224/3221227011/index.m3u8$LR•IPV4
山西卫视,http://118.81.195.79:9003/hls/19/index.m3u8$LR•IPV4
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8$LR•IPV4•3『线路1』
陕西卫视,http://223.110.245.139/PLTV/4/224/3221227022/index.m3u8$LR•IPV4•3『线路2』
陕西卫视,http://112.25.48.68/live/program/live/sxws/1300000/mnf.m3u8$LR•IPV4•3『线路3』

数字,#genre#
NewTV动作电影,http://39.134.19.68/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8$LR•IPV4
优漫卡通,http://183.207.249.15/PLTV/4/224/3221225933/index.m3u8$LR•IPV4
哈哈炫动,http://223.110.245.139/PLTV/4/224/3221226388/index.m3u8$LR•IPV4
嘉佳卡通,http://223.110.245.139/PLTV/4/224/3221227009/index.m3u8$LR•IPV4•2『线路1』
嘉佳卡通,http://112.25.48.68/live/program/live/jjkt/1300000/mnf.m3u8$LR•IPV4•2『线路2』
金鹰卡通,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221226303/index.m3u8$LR•IPV4
纪实人文,http://39.135.138.59:18890/PLTV/88888910/224/3221225655/index.m3u8$LR•IPV4
弈坛春秋,http://223.110.245.139/PLTV/4/224/3221227031/index.m3u8$LR•IPV4
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8$LR•IPV4

安徽,#genre#
滁州新闻综合频道,http://183.167.193.45:1935/live/cztvzh/playlist.m3u8$LR•IPV4
滁州科教频道,http://183.167.193.45:1935/live/cztvkj/playlist.m3u8$LR•IPV4
滁州公共频道,http://183.167.193.45:1935/live/cztvgg/playlist.m3u8$LR•IPV4
铜陵新闻综合频道,http://dstpush1.retalltech.com/app/stream1.m3u8$LR•IPV4
亳州农村,http://220.180.110.101:8083/videos/live/39/13/o4ncrHkSp7q09/o4ncrHkSp7q09.m3u8$LR•IPV4

北京,#genre#
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8$LR•IPV4
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8$LR•IPV4

重庆,#genre#
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8$LR•IPV4

福建,#genre#
漳州新闻综合,https://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8$LR•IPV4

河北,#genre#
邢台综合,http://222.223.119.21:8888/newlive/live/hls/54/live.m3u8$LR•IPV4
河北都市,http://121.19.134.246:808/hls/21/index.m3u8$LR•IPV4
河北农民,http://121.19.134.246:808/hls/25/index.m3u8$LR•IPV4
鹿泉一套,http://hblq.chinashadt.com:2036/live/stream:luquan1.stream/playlist.m3u8$LR•IPV4
河北经济,http://121.19.134.246:808/hls/20/index.m3u8$LR•IPV4
河北影视,http://121.19.134.246:808/hls/22/index.m3u8$LR•IPV4
河北公共,http://121.19.134.246:808/hls/24/index.m3u8$LR•IPV4
鹿泉二套,http://hblq.chinashadt.com:2036/live/stream:luquan2.stream/playlist.m3u8$LR•IPV4

江苏,#genre#
江苏城市,http://183.207.248.71/gitv/live1/G_JSCS/G_JSCS$LR•IPV4
江苏综艺,http://183.207.248.71/gitv/live1/G_JSZY/G_JSZY$LR•IPV4
江苏影视,http://223.110.243.134/PLTV/4/224/3221225937/index.m3u8$LR•IPV4
江苏教育,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225923/index.m3u8$LR•IPV4
南京十八,http://183.207.248.71/gitv/live1/G_NJSB/G_NJSB$LR•IPV4
江苏体育,http://183.207.248.71/gitv/live1/G_JSTY/G_JSTY$LR•IPV4
南京教科,https://live.nbs.cn/channels/njtv/jkpd/m3u8:500k/live.m3u8$LR•IPV4•3『线路1』
南京教科,http://183.207.248.71/gitv/live1/G_NJJK/G_NJJK$LR•IPV4•3『线路2』
南京教科,http://223.110.245.155/ott.js.chinamobile.com/PLTV/3/224/3221227194/index.m3u8$LR•IPV4•3『线路3』
南京少儿,https://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8$LR•IPV4

浙江,#genre#
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$LR•IPV4
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8$LR•IPV4
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8$LR•IPV4
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8$LR•IPV4
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8$LR•IPV4
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8$LR•IPV4•2『线路1』
浙江经济,http://222.179.155.21:1935/ch0.m3u8$LR•IPV4•2『线路2』
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8$LR•IPV4
萧山新闻综合,https://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8$LR•IPV4
